male,workthen,tixbot,yearw,agew,winner,yearlpr,educ,xearn.1,xearn.2,xearn.3,xearn.4,xearn.5,xearn.6,yearn.1,yearn.2,yearn.3,yearn.4,yearn.5,yearn.6,yearn.7,xearnp.1,xearnp.2,xearnp.3,xearnp.4,xearnp.5,xearnp.6,yearnp.1,yearnp.2,yearnp.3,yearnp.4,yearnp.5,yearnp.6,yearnp.7,bigwinner
0.0,0.0,2.0,1986.0,76.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,5.0,1987.0,59.0,1.0,24.748760563380216,8.0,0.0,3.679834196891181,0.6679437751003998,11.085528392685243,10.330513011152389,0.7929999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,2.0,1986.0,59.0,0.0,0.0,16.0,34.449514563106696,35.80990099009891,36.79834196891181,39.28433734939749,39.87372473532231,40.336059479553796,42.258,42.25774647887312,41.690617075232346,33.60742580645152,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,1.0,10.0,1985.0,49.0,1.0,6.843990334572473,16.0,0.0,4.3893203883495024,10.082235423542325,8.713483937823808,11.905244979919647,16.396750721847887,17.296631970260176,16.899999999999952,14.935894366197143,24.390863905325375,24.872129032257995,23.45037490436107,23.43685756240816,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0,1.0,2.0,1985.0,31.0,1.0,11.24576468401484,12.0,8.789134986225871,7.886145631067939,0.0,0.0,13.784730923694742,16.79548796920111,18.771546468401436,18.442999999999948,17.00536619718305,17.40073710904475,12.223935483870935,5.716474368783459,14.46929221732742,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,2.0,1985.0,63.0,1.0,47.979539033457115,12.0,34.57079889807153,34.449514563106696,35.80990099009891,36.79834196891181,39.28433734939749,29.69326660250232,19.628178438661656,19.269999999999946,0.0,0.0,0.0,0.0,1.0670308370044024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,3.0,1986.0,56.0,1.0,22.602799999999934,8.0,15.455728155339763,19.240888888888836,18.257202072538806,19.524425702811193,19.64572088546674,19.706609665427454,12.006999999999968,11.162605633802787,9.749119188503776,0.0,7.2518806426931715,4.400093979441985,5.690919458303619,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1984.0,43.0,1.0,40.98691896053886,12.0,29.75337423312875,30.819338842975124,29.009417475728075,27.64717271727165,26.428932642486973,28.76559839357422,36.06989797882569,31.365360594795458,25.825999999999926,24.997676056337962,23.214262045646596,24.33296774193542,23.129205814843093,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,0.0,1.0,1984.0,60.0,1.0,106.05355919153001,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,2.0,1987.0,59.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,5.0,1984.0,45.0,1.0,10.04965543792105,14.0,34.79631901840481,36.7024132231404,29.57869902912613,35.80990099009891,36.79834196891181,42.24111646586334,42.258,42.426,43.018,43.018,43.36,43.688,43.01820964039775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,5.0,1984.0,43.0,1.0,90.6837151106831,14.0,29.200331288343474,26.33872176308533,27.483796116504777,23.029262926292567,26.131365803108732,25.382963855421618,25.44956304138588,23.226847583643064,24.119999999999933,17.72799295774643,12.315408284023635,11.530980645161259,8.243060443764325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,0.0,1984.0,45.0,1.0,137.27183753609202,14.0,23.975840490797477,25.22611570247927,27.153932038834874,26.22442244224415,26.13363730569941,30.283052208835258,37.131087584215486,40.336059479553796,41.999999999999886,42.25774647887312,41.690617075232346,42.425806451612786,43.01820964039775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,4.0,1985.0,45.0,0.0,0.0,16.0,28.970027548209288,28.08100970873779,28.14754675467539,30.784538860103538,32.39032128514047,32.65636958614043,34.28565055762073,37.739999999999895,38.59154929577454,41.375621301775034,41.64976774193537,43.01820964039775,42.97092511013204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,8.0,1987.0,43.0,1.0,79.1126760563378,12.0,17.72168096809676,16.74438134715021,21.336787148594322,18.717443695861352,19.31649070631965,20.527999999999942,10.65705633802814,0.0,0.0,1.6771231828615105,3.2992657856093888,1.5623663578046998,1.5169550173010338,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0
1.0,1.0,1.0,1987.0,27.0,1.0,36.983584154929474,12.0,8.034921892189198,10.42619689119168,12.036192771084306,12.468450433108723,15.529382899628212,39.40899999999989,22.487295774647826,23.962840236686322,28.71078064516121,30.613368018362586,29.522795888399333,27.917143264433278,11.63883737024218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
