id,name,year,urbanpop,totalpop,urbrate,fpresence,westelbe,protestant,latitude,longitude,distpa,ccodenoalr,ccodenoalroff,ccodenoalron,ccodeall,ccodealloff,ccodeallon,agreform1first,agreform1off,agreform1on,agreform2first,agreform2off,agreform2on,guildsfirst,guildsoff,guildson,territories,yr1700,yr1750,yr1800,yr1850,yr1875,yr1900,fpresence1750,fpresence1800,fpresence1850,fpresence1875,fpresence1900,protestant1750,protestant1800,protestant1850,protestant1875,protestant1900,latitude1750,latitude1800,latitude1850,latitude1875,latitude1900,longitude1750,longitude1800,longitude1850,longitude1875,longitude1900,distpa1750,distpa1800,distpa1850,distpa1875,distpa1900,territories1850,territories1875,territories1900,totalpop1750,urbanization1750,urbanization17501800,urbanization17501850,urbanization17501875,urbanization17501900,yr1880,yr1885,yr1895,yr1905,yr1910,fpresence1880,fpresence1885,fpresence1895,fpresence1905,fpresence1910,yearscc,yearsag1,yearsag2,yearsgu,yearsref,timetrend,post1800,post1800trend,fpresenceXpost,fpresenceXpostXtrend
1,Rhineland,1700,83000.0,,,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438817.0,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0
1,Rhineland,1750,129000.0,1438817.0,8.9657,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,413.05524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1438817.0,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0.0,0.0,0.0
1,Rhineland,1800,274000.0,1860719.0,14.725494,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,413.05524,0.0,0.0,0.0,0.0,0.0,0.0,1438817.0,8.9657,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,1.75,1.8,0.0,0.0,0.0,0.0
1,Rhineland,1850,572278.0,2846708.0,20.103167,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,413.05524,0.0,0.0,45.0,0.0,0.0,1438817.0,8.9657,0.0,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,52.0,46.0,55.0,50.25,1.85,1.0,1850.0,19.0,35.15
1,Rhineland,1875,1629051.0,3804381.0,42.820396,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,413.05524,0.0,0.0,45.0,0.0,1438817.0,8.9657,0.0,0.0,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,77.0,71.0,80.0,75.25,1.875,1.0,1875.0,19.0,35.625
1,Rhineland,1880,1850627.0,4074000.0,45.42531,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,78.0,82.0,76.0,85.0,80.25,1.88,1.0,1880.0,19.0,35.72
1,Rhineland,1885,2103753.0,4344527.0,48.42306,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,83.0,87.0,81.0,90.0,85.25,1.885,1.0,1885.0,19.0,35.815
1,Rhineland,1895,2836140.0,5106002.0,55.54522,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,93.0,97.0,91.0,100.0,95.25,1.895,1.0,1895.0,19.0,36.005
1,Rhineland,1900,3506587.0,5759798.0,60.880383,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,50.35,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,413.05524,0.0,0.0,45.0,1438817.0,8.9657,0.0,0.0,0.0,8.9657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,102.0,96.0,105.0,100.25,1.9,1.0,1900.0,19.0,36.1
1,Rhineland,1905,4145633.0,6436337.0,64.40982,19,1,0.25,50.35,7.6,413.05524,1802,0,0,1802,0,0,1798,0,0,1804,0,0,1795,0,0,45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19.0,0.0,103.0,107.0,101.0,110.0,105.25,1.905,1.0,1905.0,19.0,36.195
